state,year,quater,total_amount,query,transacion_type,yearly_amount
jammu-&-kashmir,2020,1.0,2937643176.5340166,Query 1,,
jammu-&-kashmir,2020,2.0,8265648939.258549,Query 1,,
jammu-&-kashmir,2020,3.0,11977229760.872475,Query 1,,
jammu-&-kashmir,2020,4.0,15380905803.378204,Query 1,,
jammu-&-kashmir,2021,1.0,17138349893.151728,Query 1,,
jammu-&-kashmir,2021,2.0,22813755428.591644,Query 1,,
jammu-&-kashmir,2021,3.0,31598443648.032124,Query 1,,
jammu-&-kashmir,2021,4.0,38926237425.77167,Query 1,,
jammu-&-kashmir,2022,1.0,33147863626.15907,Query 1,,
jammu-&-kashmir,2022,2.0,46254290836.6356,Query 1,,
jammu-&-kashmir,2022,3.0,40963554502.24823,Query 1,,
jammu-&-kashmir,2022,4.0,44315295915.49385,Query 1,,
jammu-&-kashmir,2023,1.0,55921747581.0,Query 1,,
jammu-&-kashmir,2023,2.0,76530005380.0,Query 1,,
jammu-&-kashmir,2023,3.0,86016148426.0,Query 1,,
jammu-&-kashmir,2023,4.0,93070141760.0,Query 1,,
jammu-&-kashmir,2024,1.0,93960928941.0,Query 1,,
jammu-&-kashmir,2024,2.0,129061756911.0,Query 1,,
jammu-&-kashmir,2024,3.0,144470345977.0,Query 1,,
jammu-&-kashmir,2024,4.0,160950980732.0,Query 1,,
jharkhand,2018,1.0,2374186389.9193854,Query 1,,
jharkhand,2018,2.0,4721575659.062854,Query 1,,
jharkhand,2018,3.0,8661571417.704618,Query 1,,
jharkhand,2018,4.0,10241916641.122364,Query 1,,
jharkhand,2019,1.0,13627236449.278107,Query 1,,
jharkhand,2019,2.0,18622701305.54632,Query 1,,
jharkhand,2019,3.0,21465973993.359142,Query 1,,
jharkhand,2019,4.0,28147748376.67712,Query 1,,
jharkhand,2020,1.0,33611232153.268803,Query 1,,
jharkhand,2020,2.0,37486201975.9236,Query 1,,
jharkhand,2020,3.0,50622615820.01364,Query 1,,
jharkhand,2020,4.0,72805174830.04355,Query 1,,
jharkhand,2021,1.0,83749353123.13959,Query 1,,
jharkhand,2021,2.0,104432643311.45796,Query 1,,
jharkhand,2021,3.0,121891015118.85304,Query 1,,
jharkhand,2021,4.0,166017119003.70593,Query 1,,
jharkhand,2022,1.0,194700207087.16724,Query 1,,
jharkhand,2022,2.0,225636227828.13782,Query 1,,
jharkhand,2022,3.0,229412884063.9579,Query 1,,
jharkhand,2022,4.0,277971737448.58136,Query 1,,
jharkhand,2023,1.0,367371336021.0,Query 1,,
jharkhand,2023,2.0,422214727508.0,Query 1,,
jharkhand,2023,3.0,418384424020.0,Query 1,,
jharkhand,2023,4.0,498720104925.0,Query 1,,
jharkhand,2024,1.0,559720237073.0,Query 1,,
jharkhand,2024,2.0,620115922491.0,Query 1,,
jharkhand,2024,3.0,609909540592.0,Query 1,,
jharkhand,2024,4.0,704010501034.0,Query 1,,
karnataka,2018,1.0,19217895314.013508,Query 1,,
karnataka,2018,2.0,33515580081.300987,Query 1,,
karnataka,2018,3.0,48225091755.80809,Query 1,,
karnataka,2018,4.0,73008386576.06798,Query 1,,
karnataka,2019,1.0,117976382145.7573,Query 1,,
karnataka,2019,2.0,163702024226.0843,Query 1,,
karnataka,2019,3.0,214536720438.18845,Query 1,,
karnataka,2019,4.0,295047143447.2323,Query 1,,
